순위,관광지ID,관광지명,분류
1,f0ad8e376bda7b0a53c69207a42c4ea2,신세계프리미엄아울렛/파주점,쇼핑
2,28205aacab0912318ebe1d1331d29edc,롯데프리미엄아울렛/파주점,쇼핑
3,035abbfef151ec9c0b1af40615f719b1,헤이리예술마을,기타관광
4,3c89df4eef0302e40dbdd5832e262fe5,프로방스,기타관광
5,5c34a4a6cbc89908e092403de0e7cc3c,평화누리,문화관광
6,d6c62dbdf762c441e488d42832e6da07,임진각,기타관광
7,e8f4371db3097525813a8ac3deaa2093,마장호수출렁다리,기타관광
8,896f21b82aa9e17e972cb882ce98b89e,이마트/파주운정점,쇼핑
9,7ab92a9b7a6cff5b9afe7e7d31b8a779,홈플러스/파주운정점,쇼핑
10,d089f5135b655d8c0f39853d2cc2d0af,자유로자동차극장,문화관광
11,079875e322fb509084fdb838b8cb2ce2,오두산통일전망대,문화관광
12,9d79549daf5bc4fc7917fe89997555c3,이마트/파주점,쇼핑
13,0a6f35411708fdb9548b8eb83005b60e,운정호수공원,문화관광
14,495b2cc1cf7121292a0e426c16967ba6,퍼스트가든,문화관광
15,70ffec079b54c8696731bb0515f8ed07,홈플러스/파주문산점,쇼핑
16,96d2796be471c2ef567bb4a46f07bfc9,감악산출렁다리,기타관광
17,b5d33dd5cb2a421a72448ea3cb4e6618,미메시스아트뮤지엄,문화관광
18,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,숙박
19,1a4c87742e33ead5b9b3c40c459ac1a2,벽초지수목원,자연관광
20,8695b2de3cc23c156b366608d9b89885,약천사,역사관광
21,83beb24d558e448e6cbb3ba4fdfbf377,보광사,역사관광
22,2da3df196ff25fa5183cddba80a6df9b,심학산,자연관광
23,fecd9849410ecc9e0090ee03c761347f,화석정,역사관광
24,394267994d84ed879274bf65b8ed19fe,율곡습지공원,문화관광
25,c15eee16a33dbc415e2c36ffc87525cc,나눔농장,체험관광
26,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,숙박
27,e17cb97d3744ecd0cf941d9486fa4355,퍼스트가든자동차극장,문화관광
28,41e00ec5d68c9ee6425522aab554349d,문산자유시장,쇼핑
29,a4d02cd76ea178c7a642487b99448d46,임진각관광안내소,기타관광
30,ffaa593b638f70053ceed146fbe7c76e,판문점,기타관광
