year,month,성/연령,지역명,비율
2025,6,30대 남성,경기도 안산시 단원구,12.3
2025,6,50대 남성,경기도 안산시 단원구,10.6
2025,6,40대 남성,경기도 안산시 단원구,9.9
2025,6,50대 여성,경기도 안산시 단원구,9.2
2025,6,60대 남성,경기도 안산시 단원구,9.1
2025,6,20대 남성,경기도 안산시 단원구,8.7
2025,6,30대 여성,경기도 안산시 단원구,8.1
2025,6,60대 여성,경기도 안산시 단원구,7.2
2025,6,40대 여성,경기도 안산시 단원구,6.7
2025,6,20대 여성,경기도 안산시 단원구,6.4
2025,6,10대 남성,경기도 안산시 단원구,2.8
2025,6,70대 이상 여성,경기도 안산시 단원구,2.8
2025,6,70대 이상 남성,경기도 안산시 단원구,2.7
2025,6,10대 여성,경기도 안산시 단원구,2.6
2025,6,10대 미만 여성,경기도 안산시 단원구,0.5
2025,6,10대 미만 남성,경기도 안산시 단원구,0.5
