순위,관광지ID,관광지명,분류
1,f0ad8e376bda7b0a53c69207a42c4ea2,신세계프리미엄아울렛/파주점,쇼핑
2,28205aacab0912318ebe1d1331d29edc,롯데프리미엄아울렛/파주점,쇼핑
3,035abbfef151ec9c0b1af40615f719b1,헤이리예술마을,기타관광
4,5c34a4a6cbc89908e092403de0e7cc3c,평화누리,문화관광
5,3c89df4eef0302e40dbdd5832e262fe5,프로방스,기타관광
6,e8f4371db3097525813a8ac3deaa2093,마장호수출렁다리,기타관광
7,1a4c87742e33ead5b9b3c40c459ac1a2,벽초지수목원,자연관광
8,d6c62dbdf762c441e488d42832e6da07,임진각,기타관광
9,495b2cc1cf7121292a0e426c16967ba6,퍼스트가든,문화관광
10,7ab92a9b7a6cff5b9afe7e7d31b8a779,홈플러스/파주운정점,쇼핑
11,079875e322fb509084fdb838b8cb2ce2,오두산통일전망대,문화관광
12,896f21b82aa9e17e972cb882ce98b89e,이마트/파주운정점,쇼핑
13,0a6f35411708fdb9548b8eb83005b60e,운정호수공원,문화관광
14,9d79549daf5bc4fc7917fe89997555c3,이마트/파주점,쇼핑
15,394267994d84ed879274bf65b8ed19fe,율곡습지공원,문화관광
16,96d2796be471c2ef567bb4a46f07bfc9,감악산출렁다리,기타관광
17,7f173be334b2e7d6b9658b4b366402b0,율곡수목원,자연관광
18,83beb24d558e448e6cbb3ba4fdfbf377,보광사,역사관광
19,70ffec079b54c8696731bb0515f8ed07,홈플러스/파주문산점,쇼핑
20,d089f5135b655d8c0f39853d2cc2d0af,자유로자동차극장,문화관광
21,b5d33dd5cb2a421a72448ea3cb4e6618,미메시스아트뮤지엄,문화관광
22,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,문화관광
23,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,숙박
24,04a0154e9869db9bf645448404707719,파주리조트골프클럽PRGC,레저스포츠
25,1aabc6f644c6f6a94ca0b88aceb07cfd,마장호수공원,문화관광
26,c15eee16a33dbc415e2c36ffc87525cc,나눔농장,체험관광
27,1dbb14fa93954417628146ea816c62a5,소울원,문화관광
28,e1a30f9e7254555ab8502aece514d7f5,서원힐스CC,레저스포츠
29,f9ede4a268567247a072eccb383f8b78,파주임진각평화곤돌라,레저스포츠
