업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,33.0,1
음식,설문커피,23.0,2
음식,메밀꽃이피었습니다/일산본점,21.0,3
음식,포레스트아웃팅스/일산,18.0,4
음식,가나안덕/일산본점,18.0,5
음식,맥도날드/중산DT점,14.0,6
음식,부페파크/일산점,13.0,7
음식,본구이/일산점,12.0,8
음식,빠르끄,11.0,9
음식,목우촌웰빙마을/풍동애니골점,11.0,10
쇼핑,코스트코홀세일/일산점,142.0,1
쇼핑,라페스타,142.0,2
쇼핑,벨라시타,72.0,3
쇼핑,이마트/풍산점,54.0,4
쇼핑,롯데백화점/일산점,52.0,5
쇼핑,뉴코아아울렛/일산점,48.0,6
쇼핑,홈플러스/일산점,22.0,7
쇼핑,홈플러스/고양터미널점,16.0,8
쇼핑,롯데아울렛/고양터미널점,16.0,9
쇼핑,이마트/일산점,14.0,10
문화관광,일산호수공원,117.0,1
문화관광,CGV/일산,33.0,2
문화관광,고양아람누리,6.0,3
문화관광,롯데시네마/라페스타,6.0,4
문화관광,알미공원,5.0,5
문화관광,일산풋볼파크,5.0,6
문화관광,메가박스/백석,5.0,7
문화관광,고양장항야구장,5.0,8
문화관광,와글아이/일산차움라이프센터점,3.0,9
문화관광,중산체육공원,3.0,10
