순위,관광지ID,관광지명,분류
1,f0ad8e376bda7b0a53c69207a42c4ea2,신세계프리미엄아울렛/파주점,쇼핑
2,28205aacab0912318ebe1d1331d29edc,롯데프리미엄아울렛/파주점,쇼핑
3,035abbfef151ec9c0b1af40615f719b1,헤이리예술마을,기타관광
4,3c89df4eef0302e40dbdd5832e262fe5,프로방스,기타관광
5,5c34a4a6cbc89908e092403de0e7cc3c,평화누리,문화관광
6,e8f4371db3097525813a8ac3deaa2093,마장호수출렁다리,기타관광
7,d6c62dbdf762c441e488d42832e6da07,임진각,기타관광
8,896f21b82aa9e17e972cb882ce98b89e,이마트/파주운정점,쇼핑
9,7ab92a9b7a6cff5b9afe7e7d31b8a779,홈플러스/파주운정점,쇼핑
10,079875e322fb509084fdb838b8cb2ce2,오두산통일전망대,문화관광
11,495b2cc1cf7121292a0e426c16967ba6,퍼스트가든,문화관광
12,0a6f35411708fdb9548b8eb83005b60e,운정호수공원,문화관광
13,9d79549daf5bc4fc7917fe89997555c3,이마트/파주점,쇼핑
14,c15eee16a33dbc415e2c36ffc87525cc,나눔농장,체험관광
15,b5d33dd5cb2a421a72448ea3cb4e6618,미메시스아트뮤지엄,문화관광
16,475db97583e2f62b385ce05fbed848c0,한국근현대사박물관,문화관광
17,a91da1956b3b8924da77f30f09309756,국립민속박물관/파주,문화관광
18,96d2796be471c2ef567bb4a46f07bfc9,감악산출렁다리,기타관광
19,33642af7db41e92b196068bd27e1e357,콩치노콩크리트,문화관광
20,d089f5135b655d8c0f39853d2cc2d0af,자유로자동차극장,문화관광
21,70ffec079b54c8696731bb0515f8ed07,홈플러스/파주문산점,쇼핑
22,877f0160d905ac319322724a9592986b,파주공룡박물관,문화관광
23,f9ede4a268567247a072eccb383f8b78,파주임진각평화곤돌라,레저스포츠
24,83beb24d558e448e6cbb3ba4fdfbf377,보광사,역사관광
25,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,숙박
26,c7ac95f733903a098f4d8230d8a913eb,CGV/파주야당,문화관광
27,8695b2de3cc23c156b366608d9b89885,약천사,역사관광
28,e1a30f9e7254555ab8502aece514d7f5,서원힐스CC,레저스포츠
29,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,쇼핑
30,2da3df196ff25fa5183cddba80a6df9b,심학산,자연관광
