year,month,순위,관광지ID,업소명,분류
2024,11,1,5e768534b8f8c34d3eaa9bcf52c3e004,모쿠슈라2호점,카페/찻집
2024,11,2,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
2024,11,3,3b6e33ee7e35b5a32d5f48f820a2cd7d,쿠우쿠우파주운정점,전문음식
2024,11,4,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
2024,11,5,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
2024,11,6,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
2024,11,7,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
2024,11,8,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
2024,11,9,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
2024,11,10,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
2024,11,11,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
2024,11,12,394096aab09672b056bebd8be9a0918f,아레볼,카페/찻집
2024,11,13,27e998ff4d9087a557a7cc396ed375ca,행운식당,한식
2024,11,14,7ef609196aaa77b9e05661c4c3ced6c9,조은도너츠,간이음식
2024,11,15,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
2024,11,16,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
2024,11,17,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
2024,11,18,dbc9168a6a836218c8f16ca21ca69aab,말똥도넛디저트타운파주점,카페/찻집
2024,11,19,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
2024,11,20,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
2024,11,21,37f59296b4e9cad24e9bc1a562a5e5f7,애슐리퀸즈파주운정점,전문음식
2024,11,22,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
2024,11,23,e147d9c8804ff3675806f6cad24aed07,유가원설농탕,한식
2024,11,24,fd7d8928be0215068795e554cf4f0bbf,레드브릿지,카페/찻집
2024,11,25,1da2b8cd21c2120c64604e65662c95e0,스타벅스파주문산DT점,카페/찻집
2024,11,26,b62dda58c79327c107d43dc30ba70ea0,바리루스,카페/찻집
2024,11,26,498d0856cce0cb5f862aff0b2d18fcd5,쟈빠따,카페/찻집
2024,11,28,1f4f693f7a8a67a751735a0629c4b9c9,샤브20파주운정점,전문음식
2024,11,29,59f77746add04627f8f0895c5489fc78,평양손만두파주운정점,한식
2024,11,30,a5f56696708a431401b65152a5c46c15,파주뼈칼국수교하제면소,한식
2024,11,31,4b782d88bc6169887ab9283b0cc903c9,피스피스출판단지점,카페/찻집
2024,11,32,af4f35cfdf6e6998842e33bf7a31330f,박가삼거리부대찌개,전문음식
2024,11,33,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
2024,11,34,c9acc7fb5a210fd8436a18acf26b0a63,파주돌짜장[중식],외국식
2024,11,35,f316eb563415769d11e988905cf8062e,207FEET파주본점,전문음식
2024,11,36,cbcf11a11d4483e4df3d13be179580c1,원조두지리매운탕본점,한식
2024,11,37,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
2024,11,38,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
2024,11,39,bb8c205aeed63783628f06722babb912,수라한식뷔페,전문음식
2024,11,40,a248017b46acb6a04a5973c73c097c4b,막스시오지스페이스,카페/찻집
2024,11,41,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
2024,11,42,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
2024,11,43,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
2024,11,44,60a6e729b516ac4d5beefe498c318762,파주방축골한우마을,한식
2024,11,45,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
2024,11,46,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
2024,11,47,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
2024,11,48,8abd20e849a08444ed3339238935e781,파주닭국수,한식
2024,11,49,9a365285c5cef5010a2e613e614a8134,홍익돈까스파주금릉점,전문음식
2024,11,50,0cb2f59c5401bae40a5c3d3b7357f77e,팥티오운정점,카페/찻집
2024,11,51,eb0e176527018ed1872b057fc5a0ac42,청종나주곰탕파주본점,한식
2024,11,52,96b3759a49fc73efddf7c74ce0c88188,아이노스,카페/찻집
2024,11,53,e6d011051a1014fd263c3b639797c9c7,출렁다리쌈밥마장호수본점,한식
2024,11,54,491a66e11786052b37caf35aecd4e79b,해브펀카페베이커리,카페/찻집
2024,11,55,f1d0688fd5bc1157bed02c6affde01d7,심학산두부마을,한식
2024,11,56,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
2024,11,57,67bed2bdc8ff02441344b37082edf397,교하정,한식
2024,11,58,270e5486156b5ee1bece014a52b733a8,청담순대국운정호수1호점,한식
2024,11,59,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
2024,11,60,5585a33386cbad1fca06e666180969ee,르븨밀크본점,카페/찻집
2024,11,61,4dadd1c9700b53cc3022d2c0e204e6fb,옛날시골밥상[한식],한식
2024,11,62,e6ce3ea99bbf8c6ea1855aaaaa3676bb,개성손만두파주점,한식
2024,11,63,3c0a04317641aafee2b0933d53fc7cb4,심학산들꽃쌈밥,한식
2024,11,63,a6f4edd7a93e34997d8d580de003a6a1,류재은베이커리본점,간이음식
2024,11,65,f85e3aabe42aea59f78bb286eddd44ca,미꼬담운정점 [한식],한식
2024,11,66,62138cde01f1ce7f817b2d68e203387d,황인용뮤직스페이스카메라타,카페/찻집
2024,11,67,62845268b51eb32358bb7cf6d4746599,안동각[중식],외국식
2024,11,68,9a47e6d29414f4fc652f1e727b9d4c4d,모쿠슈라1호점,전문음식
2024,11,69,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
2024,11,70,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
2024,11,71,39ecbaf1de6f5338b76011a027e4e99f,온더레일,카페/찻집
2024,11,72,f063500256a2d5e1d016e053f6234141,소담촌파주운정역점,전문음식
2024,11,73,55fa2365cf5a2c6bafa33d9d33859482,스타벅스파주가람점,카페/찻집
2024,11,74,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
2024,11,75,6fbd5ff085952a5abac284b6883e30fa,밀크북,카페/찻집
2024,11,76,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
2024,11,77,c493373bf7c1c2109194db43f36af142,신솥해장국&돼지국밥,한식
2024,11,78,ebb2420d413fa8b9bb75802b554ca422,궁중영의정인절미떡집,간이음식
2024,11,79,cb4dda3224b3090fa21dc60a141c7d81,장수대,한식
2024,11,80,5dfa8092f22ad2728b6f2e7c2c47cd2c,능골매운탕,한식
2024,11,81,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
2024,11,82,4aaee966bd76a8d4f9ce7ad11826b9a4,토향,한식
2024,11,83,e8905e01eca3dfded3ab1572c8bfab74,라테라스,카페/찻집
2024,11,84,7f4b535609a86c1888ea5ca89028b345,고향집시골밥상[한식],한식
2024,11,85,99ef3e71d0216a46627398467c15a612,명륜진사갈비파주다율점,한식
2024,11,86,8388c44321d9e5659df7cee7807f10db,메주꽃[한식],한식
2024,11,86,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
2024,11,88,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
2024,11,89,40a1fbfb5057863de6e260003c7d5998,버거킹파주야당역점,간이음식
2024,11,89,f9a93a4fc062175e200f25c06373c532,언칼국수금촌본점,한식
2024,11,91,d5c1a372542f05716a2f4aaaaf75797b,초리골164,카페/찻집
2024,11,92,cdc1f9b680fba0a5b8e8fcaba58b1176,나바호,카페/찻집
2024,11,93,c6d6e186fbfd5c93c13b89d013328ad6,육미제당파주운정점,한식
2024,11,94,597fcf48dd066b8d4d406107d1d4ad11,장단콩두부촌,한식
2024,11,95,7f14a8a3a2dfc5f8a6e9f819be0dbdcd,운정골,한식
2024,11,96,446564ed4b13c8331a4a3163ad6f8910,봄담아샤브샤브파주운정점,전문음식
2024,11,97,b2ab9804ff1489ba2e7c6e63b240cd3f,심학산바베큐그릴,전문음식
2024,11,98,90a0af0fbccebf1be0a853b80a7e42f0,두둑한한판,한식
2024,11,99,737857df34f7b244b683799e660d9fd7,심학산장어,전문음식
2024,11,100,0fd354dbc0e1e8b44cd64761efa7d562,별난명태본점,한식
