year,month,언어명,관광지명,구분
2025,6,중번체,新世界坡州名牌折扣購物中心(신세계사이먼 파주 프리미엄 아울렛),쇼핑
2025,6,중번체,樂天坡州名牌折扣購物中心(롯데 파주 프리미엄아울렛),쇼핑
2025,6,중번체,板門店(판문점),역사관광지
2025,6,중번체,坡州臨津閣(和平世界公園)(파주 임진각(평화누리공원)),역사관광지
2025,6,중번체,第3地道(제3땅굴),역사관광지
2025,6,중번체,Heyri藝術村(헤이리 예술마을),체험관광지
2025,6,중번체,普羅旺斯村(프로방스 마을),체험관광지
2025,6,중번체,烏頭山統一瞭望臺(오두산 통일전망대),건축/조형물
2025,6,중번체,都羅瞭望臺(도라전망대),건축/조형물
2025,6,중번체,坡州出版都市(파주 출판도시),산업관광지
2025,6,중번체,碧草池樹木園(벽초지수목원),자연관광지
2025,6,중번체,都羅山站(도라산역),역사관광지
2025,6,중번체,普光寺(坡州)(보광사(파주)),역사관광지
2025,6,중번체,世界民俗樂器博物館(세계민속악기박물관),문화시설
2025,6,중번체,坡州紺岳山(파주 감악산),자연관광지
2025,6,중번체,首爾特技學校 (Marshall藝術中心)(서울액션스쿨 (마샬아트센터)),육상 레포츠
