순위,관광지ID,관광지명,분류
1,aef708dfe912d4f1d3406ba3e13f8e29,금촌역,교통시설
2,f0ad8e376bda7b0a53c69207a42c4ea2,신세계프리미엄아울렛파주점,쇼핑몰
3,28205aacab0912318ebe1d1331d29edc,롯데프리미엄아울렛파주점,쇼핑몰
4,e92345af217684562e5efed50a759b45,문산역,교통시설
5,8a43068f6bfa2c01a05fe0ef8bfb3c82,운정역,교통시설
6,035abbfef151ec9c0b1af40615f719b1,헤이리예술마을,기타관광
7,5c34a4a6cbc89908e092403de0e7cc3c,평화누리,도시공원
8,0a6f35411708fdb9548b8eb83005b60e,운정호수공원,도시공원
9,e8f4371db3097525813a8ac3deaa2093,마장호수출렁다리,기타관광
10,d6c62dbdf762c441e488d42832e6da07,임진각,기타관광
11,b1b7fe84a7d62a2e75e88e09276be6c0,임진각평화누리캠핑장,캠핑
12,3c89df4eef0302e40dbdd5832e262fe5,프로방스,기타관광
13,4620c27e44070de402de83dc11609bd2,파주역,교통시설
14,00d198d86f7024b1d0a696295f668978,운정가구타운,기타쇼핑시설
15,495b2cc1cf7121292a0e426c16967ba6,퍼스트가든,복합관광시설
16,96d2796be471c2ef567bb4a46f07bfc9,감악산출렁다리,기타관광
17,d089f5135b655d8c0f39853d2cc2d0af,자유로자동차극장,공연시설
18,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,시장
19,2da3df196ff25fa5183cddba80a6df9b,심학산,자연경관(산)
20,c664700bd14e49b091436d84378c0391,케이힐스더테라스,호텔
21,c1816c5022f03ebfd494cbdac2b4814a,파주CC,육상레저스포츠
22,83beb24d558e448e6cbb3ba4fdfbf377,보광사,종교성지
23,1ce722f6c6fefa534664cfabb2019f22,서서울CC,육상레저스포츠
24,e1a30f9e7254555ab8502aece514d7f5,서원힐스CC,육상레저스포츠
25,3b8daccd597a508de28c1f45dd56fed1,아미가골프장,육상레저스포츠
26,a6bfcfc8e188c6ba0b105f6eda96a6ca,파주놀이구름,테마공원
27,c7ac95f733903a098f4d8230d8a913eb,CGV파주야당,공연시설
27,c6abb28f2eb2aff78336127606ad3bea,이채쇼핑몰,쇼핑몰
29,ab877cfe858382acf39ee3115fe1053e,타이거CC,육상레저스포츠
30,8695b2de3cc23c156b366608d9b89885,약천사,종교성지
31,9a1b61a4967c1ba371d13a2aaddb6e34,스마트KU골프파빌리온,육상레저스포츠
31,a41e67d5eda4148f550121b1a7d76792,구 적성버스공용터미널,교통시설
33,c8a2d04e988792042ca48dfde9d1407f,오성골프클럽,육상레저스포츠
34,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,테마공원
35,7f173be334b2e7d6b9658b4b366402b0,율곡수목원,자연공원
36,bc78c14553ba3a0161e53727d724104e,메가박스파주운정,공연시설
37,079875e322fb509084fdb838b8cb2ce2,오두산통일전망대,랜드마크관광
38,41e00ec5d68c9ee6425522aab554349d,문산자유시장,시장
39,e2b7c908078f80d58777a8ffe2b4c1a9,메가박스파주출판도시,공연시설
40,1a4c87742e33ead5b9b3c40c459ac1a2,벽초지수목원,테마공원
41,d38b03ce3f2dab83468c6b25e62298a9,운정건강공원,도시공원
