순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202210,146316,146316.0
2,경기도,파주시,벽초지수목원,202210,88952,88952.0
3,경기도,파주시,퍼스트가든,202210,42770,42770.0
4,경기도,파주시,헤이리예술마을,202210,38150,38150.0
5,경기도,파주시,통일전망대,202210,22683,22683.0
6,경기도,파주시,율곡선생유적지,202210,20329,20329.0
7,경기도,파주시,공릉관광지(하니랜드),202210,18335,18335.0
8,경기도,파주시,서서울컨트리클럽,202210,12651,12651.0
9,경기도,파주시,제3땅굴,202210,10474,10474.0
10,경기도,파주시,파주삼릉,202210,9244,9244.0
11,경기도,파주시,경기미래교육 파주캠퍼스,202210,8409,8409.0
12,경기도,파주시,서원밸리골프클럽,202210,8117,8117.0
13,경기도,파주시,베스트밸리,202210,6418,6418.0
14,경기도,파주시,황희선생유적지,202210,6310,6310.0
15,경기도,파주시,쇠꼴마을,202210,5246,5246.0
16,경기도,파주시,황포돛배,202210,4220,4220.0
17,경기도,파주시,소울원,202210,3889,3889.0
18,경기도,파주시,파주장릉,202210,3470,3470.0
19,경기도,파주시,우농타조농장,202210,2950,2950.0
20,경기도,파주시,산머루농원,202210,574,574.0
21,경기도,파주시,영집궁시박물관,202210,492,492.0
22,경기도,파주시,두루뫼박물관,202210,144,144.0
